product_num,product_category,product_name,product_price,product_rom,product_ram,product_color,produc_url,img_url,brand,product_new,product_overview
917,Samsung ,Galaxy A54 5G  ,8.990.000 đ,8GB,256GB,Tím,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a54-5g-8gb-256gb-tim.html,https://cdn.nguyenkimmall.com/images/thumbnails/600/336/detailed/862/10055114-dien-thoai-samsung-galaxy-a54-5g-8gb-256gb-tim-1.jpg,nguyenkim,,
918,iPhone ,14 Pro ,25.390.000 đ,6GB,128GB,Đen,https://www.nguyenkim.com/dien-thoai-iphone-14-pro-128gb-den.html,https://cdn.nguyenkimmall.com/images/thumbnails/640/177/detailed/825/den.jpg,nguyenkim,,
919,Samsung ,Galaxy Z Flip 4 5G ,16.990.000 đ,"	8GB",256GB,Vàng,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-z-flip-4-5g-256gb-vang.html,https://cdn.nguyenkimmall.com/images/thumbnails/640/177/detailed/816/10052921-1.jpg,nguyenkim,,
920,Samsung ,Galaxy S23 Plus  ,21.490.000 đ,8GB,256GB,Xanh lục,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-s23-plus-8gb-256gb-xanh.html,https://cdn.nguyenkimmall.com/images/thumbnails/640/177/detailed/855/10054728.jpg,nguyenkim,,
921,OPPO ,Reno7 Z 5G ,6.990.000 đ,8GB,128GB,Đen,https://www.nguyenkim.com/dien-thoai-oppo-reno7-z-5g-den.html,https://cdn.nguyenkimmall.com/images/thumbnails/600/336/detailed/788/10051588-dien-thoai-oppo-reno7-z-5g-den-1.jpg,nguyenkim,,
922,Xiaomi ,Redmi 9C ,3.190.000 đ,4GB,128GB,Cam,https://www.nguyenkim.com/dien-thoai-xiaomi-redmi-9c-4gb-128gb-cam.html,https://cdn.nguyenkimmall.com/images/thumbnails/600/336/detailed/809/10051521-dien-thoai-xiaomi-redmi-9c-4gb-128gb-cam-1.jpg,nguyenkim,,
923,Vivo ,V23e  ,5.390.000 đ,8GB,128GB,Xanh Hồng,https://www.nguyenkim.com/dien-thoai-vivo-v23e-8gb-128gb-xanh-hong.html,https://cdn.nguyenkimmall.com/images/thumbnails/600/336/detailed/766/10050701-dien-thoai-vivo-v23e-8gb-128gb-xanh-hong-1.jpg,nguyenkim,,
924,Samsung ,Galaxy S23 Plus  ,21.490.000 đ,8GB,256GB,Tím,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-s23-plus-8gb-256gb-tim.html,https://cdn.nguyenkimmall.com/images/thumbnails/640/177/detailed/855/10054696.jpg,nguyenkim,,
925,Xiaomi ,Redmi 10C ,3.590.000 đ,4GB,128GB,Xám,https://www.nguyenkim.com/dien-thoai-xiaomi-redmi-10c-4GB-128GB-xam.html,https://cdn.nguyenkimmall.com/images/thumbnails/600/336/detailed/803/10051853-dien-thoai-xiaomi-redmi-10c-4GB-128GB-xam-1.jpg,nguyenkim,,
926,Samsung ,Galaxy S23 Ultra ,26.990.000 đ,12GB,512GB,Kem,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-s23-ultra-12gb-512gb-kem.html,https://cdn.nguyenkimmall.com/images/thumbnails/640/177/detailed/855/10054739.jpg,nguyenkim,,
927,Samsung,S22 Plus  ,15.990.000 đ,8GB,128GB,Trắng,https://www.nguyenkim.com/dien-thoai-samsung-s22-plus-8gb-128gb-trang.html,https://cdn.nguyenkimmall.com/images/thumbnails/640/177/detailed/786/10051331-1.jpg,nguyenkim,,
928,Xiaomi ,Redmi Note 11 Pro 5G ,8.090.000 đ,8GB,128GB,Xám,https://www.nguyenkim.com/dien-thoai-xiaomi-redmi-note11pro-5g-8GB-128GB-xam.html,https://cdn.nguyenkimmall.com/images/thumbnails/600/336/detailed/805/10051867-dien-thoai-xiaomi-redmi-note11pro-5g-8GB-128GB-xam-1.jpg,nguyenkim,,
929,OPPO ,A55 ,3.590.000 đ,4GB,64GB,Đen,https://www.nguyenkim.com/dien-thoai-oppo-a55-4gb-64gb-den.html,https://cdn.nguyenkimmall.com/images/thumbnails/600/336/detailed/755/10050417-dien-thoai-oppo-a55-4gb-64gb-den-1.jpg,nguyenkim,,
930,Samsung ,Galaxy S10,4.450.000 đ ,8GB,128GB,Cam ,https://galaxydidong.vn/san-pham/samsung-galaxy-s10/,https://galaxydidong.vn/wp-content/uploads/2019/03/samsung-galaxy-s10-7.webp,galaxydidong,,
