,product_name,product_price,product_memory,product_color,product_url,img_url
57,iPhone 14 512GB,26.990.000₫,512GB,Purple,https://shopdunk.com/iphone-14-512gb,https://shopdunk.com/images/thumbs/0009441_iphone-14-512gb.png
58,iPhone 14 512GB,26.990.000₫,512GB,Blue,https://shopdunk.com/iphone-14-512gb,https://shopdunk.com/images/thumbs/0009441_iphone-14-512gb.png
59,iPhone 14 512GB,26.990.000₫,512GB,Yellow,https://shopdunk.com/iphone-14-512gb,https://shopdunk.com/images/thumbs/0009441_iphone-14-512gb.png
60,iPhone 14 Pro 1TB,37.490.000₫,1TB,Space Black,https://shopdunk.com/iphone-14-pro-1tb,https://shopdunk.com/images/thumbs/0009074_iphone-14-pro-1tb.png
61,iPhone 14 Pro 1TB,37.490.000₫,1TB,Silver,https://shopdunk.com/iphone-14-pro-1tb,https://shopdunk.com/images/thumbs/0009074_iphone-14-pro-1tb.png
62,iPhone 14 Pro 1TB,37.490.000₫,1TB,Gold,https://shopdunk.com/iphone-14-pro-1tb,https://shopdunk.com/images/thumbs/0009074_iphone-14-pro-1tb.png
63,iPhone 14 Pro 1TB,37.490.000₫,1TB,Deep Purple,https://shopdunk.com/iphone-14-pro-1tb,https://shopdunk.com/images/thumbs/0009074_iphone-14-pro-1tb.png
64,iPhone 14 Pro 512GB,32.490.000₫,512GB,Space Black,https://shopdunk.com/iphone-14-pro-512gb,https://shopdunk.com/images/thumbs/0009037_iphone-14-pro-512gb.png
65,iPhone 14 Pro 512GB,32.490.000₫,512GB,Silver,https://shopdunk.com/iphone-14-pro-512gb,https://shopdunk.com/images/thumbs/0009037_iphone-14-pro-512gb.png
66,iPhone 14 Pro 512GB,32.490.000₫,512GB,Gold,https://shopdunk.com/iphone-14-pro-512gb,https://shopdunk.com/images/thumbs/0009037_iphone-14-pro-512gb.png
67,iPhone 14 Pro 512GB,32.490.000₫,512GB,Deep Purple,https://shopdunk.com/iphone-14-pro-512gb,https://shopdunk.com/images/thumbs/0009037_iphone-14-pro-512gb.png
68,iPhone 14 Pro 256GB,27.390.000₫,256GB,Space Black,https://shopdunk.com/iphone-14-pro-256gb,https://shopdunk.com/images/thumbs/0008771_iphone-14-pro-256gb.png
69,iPhone 14 Pro 256GB,27.390.000₫,256GB,Silver,https://shopdunk.com/iphone-14-pro-256gb,https://shopdunk.com/images/thumbs/0008771_iphone-14-pro-256gb.png
70,iPhone 14 Pro 256GB,27.390.000₫,256GB,Gold,https://shopdunk.com/iphone-14-pro-256gb,https://shopdunk.com/images/thumbs/0008771_iphone-14-pro-256gb.png
71,iPhone 14 Pro 256GB,27.390.000₫,256GB,Deep Purple,https://shopdunk.com/iphone-14-pro-256gb,https://shopdunk.com/images/thumbs/0008771_iphone-14-pro-256gb.png
72,iPhone 14 Pro 128GB,24.690.000₫,128GB,Space Black,https://shopdunk.com/iphone-14-pro,https://shopdunk.com/images/thumbs/0008734_iphone-14-pro-128gb.png
73,iPhone 14 Pro 128GB,24.690.000₫,128GB,Silver,https://shopdunk.com/iphone-14-pro,https://shopdunk.com/images/thumbs/0008734_iphone-14-pro-128gb.png
74,iPhone 14 Pro 128GB,24.690.000₫,128GB,Gold,https://shopdunk.com/iphone-14-pro,https://shopdunk.com/images/thumbs/0008734_iphone-14-pro-128gb.png
75,iPhone 14 Pro 128GB,24.690.000₫,128GB,Deep Purple,https://shopdunk.com/iphone-14-pro,https://shopdunk.com/images/thumbs/0008734_iphone-14-pro-128gb.png
76,iPhone 14 256GB,21.890.000₫,256GB,Midnight,https://shopdunk.com/iphone-14-256gb,https://shopdunk.com/images/thumbs/0009396_iphone-14-256gb.png
77,iPhone 14 256GB,21.890.000₫,256GB,Starlight,https://shopdunk.com/iphone-14-256gb,https://shopdunk.com/images/thumbs/0009396_iphone-14-256gb.png
78,iPhone 14 256GB,21.890.000₫,256GB,RED,https://shopdunk.com/iphone-14-256gb,https://shopdunk.com/images/thumbs/0009396_iphone-14-256gb.png
79,iPhone 14 256GB,21.890.000₫,256GB,Purple,https://shopdunk.com/iphone-14-256gb,https://shopdunk.com/images/thumbs/0009396_iphone-14-256gb.png
80,iPhone 14 256GB,21.890.000₫,256GB,Blue,https://shopdunk.com/iphone-14-256gb,https://shopdunk.com/images/thumbs/0009396_iphone-14-256gb.png
81,iPhone 14 256GB,21.890.000₫,256GB,Yellow,https://shopdunk.com/iphone-14-256gb,https://shopdunk.com/images/thumbs/0009396_iphone-14-256gb.png
82,iPhone 14 128GB,18.990.000₫,128GB,Midnight,https://shopdunk.com/iphone-14-128gb,https://shopdunk.com/images/thumbs/0009181_iphone-14-128gb.png
83,iPhone 14 128GB,18.990.000₫,128GB,Starlight,https://shopdunk.com/iphone-14-128gb,https://shopdunk.com/images/thumbs/0009181_iphone-14-128gb.png
84,iPhone 14 128GB,18.990.000₫,128GB,Blue,https://shopdunk.com/iphone-14-128gb,https://shopdunk.com/images/thumbs/0009181_iphone-14-128gb.png
85,iPhone 14 128GB,18.990.000₫,128GB,Purple,https://shopdunk.com/iphone-14-128gb,https://shopdunk.com/images/thumbs/0009181_iphone-14-128gb.png
86,iPhone 14 128GB,18.990.000₫,128GB,RED,https://shopdunk.com/iphone-14-128gb,https://shopdunk.com/images/thumbs/0009181_iphone-14-128gb.png
87,iPhone 14 128GB,18.990.000₫,128GB,Yellow,https://shopdunk.com/iphone-14-128gb,https://shopdunk.com/images/thumbs/0009181_iphone-14-128gb.png
88,iPhone 14 Plus 256GB,24.490.000₫,256GB,Midnight,https://shopdunk.com/iphone-14-plus-256gb,https://shopdunk.com/images/thumbs/0009541_iphone-14-plus-256gb.png
89,iPhone 14 Plus 256GB,24.490.000₫,256GB,Starlight,https://shopdunk.com/iphone-14-plus-256gb,https://shopdunk.com/images/thumbs/0009541_iphone-14-plus-256gb.png
90,iPhone 14 Plus 256GB,24.490.000₫,256GB,RED,https://shopdunk.com/iphone-14-plus-256gb,https://shopdunk.com/images/thumbs/0009541_iphone-14-plus-256gb.png
91,iPhone 14 Plus 256GB,24.490.000₫,256GB,Purple,https://shopdunk.com/iphone-14-plus-256gb,https://shopdunk.com/images/thumbs/0009541_iphone-14-plus-256gb.png
92,iPhone 14 Plus 256GB,24.490.000₫,256GB,Blue,https://shopdunk.com/iphone-14-plus-256gb,https://shopdunk.com/images/thumbs/0009541_iphone-14-plus-256gb.png
93,iPhone 14 Plus 256GB,24.490.000₫,256GB,Yellow,https://shopdunk.com/iphone-14-plus-256gb,https://shopdunk.com/images/thumbs/0009541_iphone-14-plus-256gb.png
94,iPhone 14 Plus 128GB,21.590.000₫,128GB,Midnight,https://shopdunk.com/iphone-14-plus-128gb,https://shopdunk.com/images/thumbs/0009495_iphone-14-plus-128gb.png
95,iPhone 14 Plus 128GB,21.590.000₫,128GB,Starlight,https://shopdunk.com/iphone-14-plus-128gb,https://shopdunk.com/images/thumbs/0009495_iphone-14-plus-128gb.png
96,iPhone 14 Plus 128GB,21.590.000₫,128GB,RED,https://shopdunk.com/iphone-14-plus-128gb,https://shopdunk.com/images/thumbs/0009495_iphone-14-plus-128gb.png
97,iPhone 14 Plus 128GB,21.590.000₫,128GB,Purple,https://shopdunk.com/iphone-14-plus-128gb,https://shopdunk.com/images/thumbs/0009495_iphone-14-plus-128gb.png
98,iPhone 14 Plus 128GB,21.590.000₫,128GB,Blue,https://shopdunk.com/iphone-14-plus-128gb,https://shopdunk.com/images/thumbs/0009495_iphone-14-plus-128gb.png
99,iPhone 14 Plus 128GB,21.590.000₫,128GB,Yellow,https://shopdunk.com/iphone-14-plus-128gb,https://shopdunk.com/images/thumbs/0009495_iphone-14-plus-128gb.png
