product_name,product_price,product_memory,product_color,product_url,img_url
iPhone 14 256GB,21.890.000₫,256GB,Midnight,https://shopdunk.com/iphone-14-256gb,https://shopdunk.com/images/thumbs/0009396_iphone-14-256gb.png
iPhone 14 256GB,21.890.000₫,256GB,Starlight,https://shopdunk.com/iphone-14-256gb,https://shopdunk.com/images/thumbs/0009396_iphone-14-256gb.png
iPhone 14 256GB,21.890.000₫,256GB,(PRODUCT) RED,https://shopdunk.com/iphone-14-256gb,https://shopdunk.com/images/thumbs/0009396_iphone-14-256gb.png
iPhone 14 256GB,21.890.000₫,256GB,Purple,https://shopdunk.com/iphone-14-256gb,https://shopdunk.com/images/thumbs/0009396_iphone-14-256gb.png
iPhone 14 256GB,21.890.000₫,256GB,Blue,https://shopdunk.com/iphone-14-256gb,https://shopdunk.com/images/thumbs/0009396_iphone-14-256gb.png
iPhone 14 256GB,21.890.000₫,256GB,Yellow,https://shopdunk.com/iphone-14-256gb,https://shopdunk.com/images/thumbs/0009396_iphone-14-256gb.png
iPhone 14 128GB,18.990.000₫,128GB,Midnight,https://shopdunk.com/iphone-14-128gb,https://shopdunk.com/images/thumbs/0009181_iphone-14-128gb.png
iPhone 14 128GB,18.990.000₫,128GB,Starlight,https://shopdunk.com/iphone-14-128gb,https://shopdunk.com/images/thumbs/0009181_iphone-14-128gb.png
iPhone 14 128GB,18.990.000₫,128GB,Blue,https://shopdunk.com/iphone-14-128gb,https://shopdunk.com/images/thumbs/0009181_iphone-14-128gb.png
iPhone 14 128GB,18.990.000₫,128GB,Purple,https://shopdunk.com/iphone-14-128gb,https://shopdunk.com/images/thumbs/0009181_iphone-14-128gb.png
iPhone 14 128GB,18.990.000₫,128GB,(PRODUCT) RED,https://shopdunk.com/iphone-14-128gb,https://shopdunk.com/images/thumbs/0009181_iphone-14-128gb.png
iPhone 14 128GB,18.990.000₫,128GB,Yellow,https://shopdunk.com/iphone-14-128gb,https://shopdunk.com/images/thumbs/0009181_iphone-14-128gb.png
iPhone 14 Plus 256GB,24.490.000₫,256GB,Midnight,https://shopdunk.com/iphone-14-plus-256gb,https://shopdunk.com/images/thumbs/0009541_iphone-14-plus-256gb.png
iPhone 14 Plus 256GB,24.490.000₫,256GB,Starlight,https://shopdunk.com/iphone-14-plus-256gb,https://shopdunk.com/images/thumbs/0009541_iphone-14-plus-256gb.png
iPhone 14 Plus 256GB,24.490.000₫,256GB,(PRODUCT) RED,https://shopdunk.com/iphone-14-plus-256gb,https://shopdunk.com/images/thumbs/0009541_iphone-14-plus-256gb.png
iPhone 14 Plus 256GB,24.490.000₫,256GB,Purple,https://shopdunk.com/iphone-14-plus-256gb,https://shopdunk.com/images/thumbs/0009541_iphone-14-plus-256gb.png
iPhone 14 Plus 256GB,24.490.000₫,256GB,Blue,https://shopdunk.com/iphone-14-plus-256gb,https://shopdunk.com/images/thumbs/0009541_iphone-14-plus-256gb.png
iPhone 14 Plus 256GB,24.490.000₫,256GB,Yellow,https://shopdunk.com/iphone-14-plus-256gb,https://shopdunk.com/images/thumbs/0009541_iphone-14-plus-256gb.png
iPhone 14 Plus 128GB,21.590.000₫,128GB,Midnight,https://shopdunk.com/iphone-14-plus-128gb,https://shopdunk.com/images/thumbs/0009495_iphone-14-plus-128gb.png
iPhone 14 Plus 128GB,21.590.000₫,128GB,Starlight,https://shopdunk.com/iphone-14-plus-128gb,https://shopdunk.com/images/thumbs/0009495_iphone-14-plus-128gb.png
iPhone 14 Plus 128GB,21.590.000₫,128GB,(PRODUCT) RED,https://shopdunk.com/iphone-14-plus-128gb,https://shopdunk.com/images/thumbs/0009495_iphone-14-plus-128gb.png
iPhone 14 Plus 128GB,21.590.000₫,128GB,Purple,https://shopdunk.com/iphone-14-plus-128gb,https://shopdunk.com/images/thumbs/0009495_iphone-14-plus-128gb.png
iPhone 14 Plus 128GB,21.590.000₫,128GB,Blue,https://shopdunk.com/iphone-14-plus-128gb,https://shopdunk.com/images/thumbs/0009495_iphone-14-plus-128gb.png
iPhone 14 Plus 128GB,21.590.000₫,128GB,Yellow,https://shopdunk.com/iphone-14-plus-128gb,https://shopdunk.com/images/thumbs/0009495_iphone-14-plus-128gb.png
iPhone 11 64GB,10.390.000₫,64GB,Black,https://shopdunk.com/iphone-11,https://shopdunk.com/images/thumbs/0012164_iphone-11-64gb.webp
iPhone 11 64GB,10.390.000₫,64GB,White,https://shopdunk.com/iphone-11,https://shopdunk.com/images/thumbs/0012164_iphone-11-64gb.webp
