,product_name,product_price,product_memory,product_color,product_overview,produc_url,img_url
222,Điện thoại OPPO A55,3.490.000₫,64GB,Xanh lá,"  |Màn hình: IPS LCD, 6.5, HD+ |Hệ điều hành: Android 11 |Camera sau: Chính 50 MP & Phụ 2 MP, 2 MP |Camera trước: 16 MP |Chip: MediaTek Helio G35 |RAM: 4 GB |Dung lượng lưu trữ: 64GB |SIM: 2 Nano SIM, Hỗ trợ 4G |Pin, Sạc: 5000 mAh, 18 W",https://www.dienmayxanh.com/dien-thoai/oppo-a55-4g,https://cdn.tgdd.vn/Products/Images/42/249944/Slider/OPPO-A55-4G-1020x570.jpg
223,Điện thoại OPPO A55,3.490.000₫,64GB,Đen,"  |Màn hình: IPS LCD, 6.5, HD+ |Hệ điều hành: Android 11 |Camera sau: Chính 50 MP & Phụ 2 MP, 2 MP |Camera trước: 16 MP |Chip: MediaTek Helio G35 |RAM: 4 GB |Dung lượng lưu trữ: 64GB |SIM: 2 Nano SIM, Hỗ trợ 4G |Pin, Sạc: 5000 mAh, 18 W",https://www.dienmayxanh.com/dien-thoai/oppo-a55-4g,https://cdn.tgdd.vn/Products/Images/42/249944/Slider/OPPO-A55-4G-1020x570.jpg
224,Điện thoại OPPO Reno7 5G,7.990.000₫,256GB,Xanh Dương,"  |Màn hình: AMOLED, 6.4, Full HD+ |Hệ điều hành: Android 11 |Camera sau: Chính 64 MP & Phụ 8 MP, 2 MP |Camera trước: 32 MP |Chip: MediaTek Dimensity 900 5G |RAM: 8 GB |Dung lượng lưu trữ: 256GB |SIM: 2 Nano SIM, Hỗ trợ 5G |Pin, Sạc: 4500 mAh, 65 W",https://www.dienmayxanh.com/dien-thoai/oppo-reno7,https://cdn.tgdd.vn/Products/Images/42/247361/Slider/OPPO-Reno7-5G-1020x570.jpg
225,Điện thoại OPPO Reno7 5G,7.990.000₫,256GB,Đen,"  |Màn hình: AMOLED, 6.4, Full HD+ |Hệ điều hành: Android 11 |Camera sau: Chính 64 MP & Phụ 8 MP, 2 MP |Camera trước: 32 MP |Chip: MediaTek Dimensity 900 5G |RAM: 8 GB |Dung lượng lưu trữ: 256GB |SIM: 2 Nano SIM, Hỗ trợ 5G |Pin, Sạc: 4500 mAh, 65 W",https://www.dienmayxanh.com/dien-thoai/oppo-reno7,https://cdn.tgdd.vn/Products/Images/42/247361/Slider/OPPO-Reno7-5G-1020x570.jpg
226,Điện thoại OPPO A95,5.490.000₫,128GB,,"  |Màn hình: AMOLED, 6.43, Full HD+ |Hệ điều hành: Android 11 |Camera sau: Chính 48 MP & Phụ 2 MP, 2 MP |Camera trước: 16 MP |Chip: Snapdragon 662 |RAM: 8 GB |Dung lượng lưu trữ: 128GB |SIM: 2 Nano SIM, Hỗ trợ 4G |Pin, Sạc: 5000 mAh, 33 W",https://www.dienmayxanh.com/dien-thoai/oppo-a95-4g,https://cdn.tgdd.vn/Products/Images/42/251703/Slider/OPPO-A95-1020x570.jpg
227,Điện thoại OPPO A96,6.190.000₫,128GB,Đen,"  |Màn hình: IPS LCD, 6.59, Full HD+ |Hệ điều hành: Android 11 |Camera sau: Chính 50 MP & Phụ 2 MP |Camera trước: 16 MP |Chip: Snapdragon 680 |RAM: 8 GB |Dung lượng lưu trữ: 128GB |SIM: 2 Nano SIM, Hỗ trợ 4G |Pin, Sạc: 5000 mAh, 33 W",https://www.dienmayxanh.com/dien-thoai/oppo-a96-4g,https://cdn.tgdd.vn/Products/Images/42/274381/Slider/oppo-a96-4g-thumb-1020x570.jpg
228,Điện thoại OPPO Reno7 Pro 5G,11.990.000₫,256GB,Đen,"  |Màn hình: AMOLED, 6.5, Full HD+ |Hệ điều hành: Android 11 |Camera sau: Chính 50 MP & Phụ 8 MP, 2 MP |Camera trước: 32 MP |Chip: MediaTek Dimensity 1200 Max |RAM: 12 GB |Dung lượng lưu trữ: 256GB |SIM: 2 Nano SIM, Hỗ trợ 5G |Pin, Sạc: 4500 mAh, 65 W",https://www.dienmayxanh.com/dien-thoai/oppo-reno7-pro,https://cdn.tgdd.vn/Products/Images/42/251964/Slider/OPPO-Reno7-Pro-1020x570.jpg
229,Điện thoại OPPO Reno7 Z 5G,7.490.000₫,128GB,Đen,"  |Màn hình: AMOLED, 6.43, Full HD+ |Hệ điều hành: Android 11 |Camera sau: Chính 64 MP & Phụ 2 MP, 2 MP |Camera trước: 16 MP |Chip: Snapdragon 695 5G |RAM: 8 GB |Dung lượng lưu trữ: 128GB |SIM: 2 Nano SIM (SIM 2 chung khe thẻ nhớ), Hỗ trợ 5G |Pin, Sạc: 4500 mAh, 33 W",https://www.dienmayxanh.com/dien-thoai/oppo-reno7-z,https://cdn.tgdd.vn/Products/Images/42/271717/Slider/oppo-reno7-z-5g-thumb-video-1020x570.jpg
230,Điện thoại OPPO Reno7 Z 5G,7.490.000₫,128GB,Bạc,"  |Màn hình: AMOLED, 6.43, Full HD+ |Hệ điều hành: Android 11 |Camera sau: Chính 64 MP & Phụ 2 MP, 2 MP |Camera trước: 16 MP |Chip: Snapdragon 695 5G |RAM: 8 GB |Dung lượng lưu trữ: 128GB |SIM: 2 Nano SIM (SIM 2 chung khe thẻ nhớ), Hỗ trợ 5G |Pin, Sạc: 4500 mAh, 33 W",https://www.dienmayxanh.com/dien-thoai/oppo-reno7-z,https://cdn.tgdd.vn/Products/Images/42/271717/Slider/oppo-reno7-z-5g-thumb-video-1020x570.jpg
231,Điện thoại OPPO Reno7 Pro 5G,11.990.000₫,256GB,Xanh dương nhạt,"  |Màn hình: AMOLED, 6.5, Full HD+ |Hệ điều hành: Android 11 |Camera sau: Chính 50 MP & Phụ 8 MP, 2 MP |Camera trước: 32 MP |Chip: MediaTek Dimensity 1200 Max |RAM: 12 GB |Dung lượng lưu trữ: 256GB |SIM: 2 Nano SIM, Hỗ trợ 5G |Pin, Sạc: 4500 mAh, 65 W",https://www.dienmayxanh.com/dien-thoai/oppo-reno7-pro,https://cdn.tgdd.vn/Products/Images/42/251964/Slider/OPPO-Reno7-Pro-1020x570.jpg
