product_name,product_memory,product_color,product_price,product_url,img_url
iPhone 14 Pro Max | Chính Hãng VNA,- Bộ nhớ: 256GB,Màu sắc: Space Black,30.490.000,https://phongvu.vn/iphone-14-pro-max--p459617,https://lh3.googleusercontent.com/jBMU5QY9ptzRAk9y2JBCzCJzdQmUKRqeenGjX4kHgDgGWFu7gCyDUJCqOr2YIsaCi-kWgU0quO0bJMWtf-vqWSc1_VkTy1wu=w500-rw
iPhone 14 Pro Max | Chính Hãng VNA,- Bộ nhớ: 512GB,Màu sắc: Space Black,35.490.000,https://phongvu.vn/iphone-14-pro-max--p459617,https://lh3.googleusercontent.com/DuHSYrq-6s9eSJfw8cUOI2d_h4mLo59LZZsBsTjsUrzXL_vsGtnzBXIklxoFLKpF40z_GA2MxDEMRhuAHS254ro_ut8QYBxg=w500-rw
iPhone 14 Pro Max | Chính Hãng VNA,- Bộ nhớ: 1 TB,Màu sắc: Space Black,40.990.000,https://phongvu.vn/iphone-14-pro-max--p459617,https://lh3.googleusercontent.com/Rmg1eJ0THO0mXMu2PRTOYel1mCOh5x1aKVo3sq-XeEAWyAMHnivKQ4Dz_jj14U5wjvQzDJPRqSaKNPc12YtfxwfUhYxmXsR4=w500-rw
ASUS ROG Phone 6,- Bộ nhớ: 256GB,Màu sắc: Storm White,15.490.000,https://phongvu.vn/asus-rog-phone-6--p442461,https://lh3.googleusercontent.com/J5xGhpMMdpZfx-CPLBFYKI_Ojn3-z8c_UFhi1Iun_L9XZjWUoVdIZGcdVlL7FvTdOi2SQm2dR3cItnbBCkGguiDOfjOKkDqE=w500-rw
iPhone 14 | Chính Hãng VNA,- Bộ nhớ: 128GB,Màu sắc: Starlight,19.190.000,https://phongvu.vn/iphone-14--p459613,https://lh3.googleusercontent.com/3pDrsg_9AJwnvxSkiWWZi77LrykIsNj3MH_SBJpMVD9gYVRGmaG60ziLTcGtHt5Ah92laWW_eR05GfU1NJUWC3s_BEhbnozB=w500-rw
iPhone 14 | Chính Hãng VNA,- Bộ nhớ: 128GB,Màu sắc: Purple,19.190.000,https://phongvu.vn/iphone-14--p459613,https://lh3.googleusercontent.com/GK7l-25XLmoGwGII3JGySFUnjdbi2eoAMT5VixQ4hqYsBc-6pHhk-uMi6_BCR_VinoTZA4OJ-IICWrzl5UOx57uvItS71Sc=w500-rw
iPhone 14 | Chính Hãng VNA,- Bộ nhớ: 256GB,Màu sắc: Purple,21.490.000,https://phongvu.vn/iphone-14--p459613,https://lh3.googleusercontent.com/Gh59MTLxRc2YyH4yzFK-ZHigealLKwx5DSjcR9HjpwKoymGrFbFqRfSVYsMukN8lG5mOZioH0Z-S13ntEoGOfH1Mss051bLD=w500-rw
iPhone 14 | Chính Hãng VNA,- Bộ nhớ: 512GB,Màu sắc: Purple,24.490.000,https://phongvu.vn/iphone-14--p459613,https://lh3.googleusercontent.com/jWQeOPrxP9p8TDvE5W0fp5NXcLtK1DObMV-4TidxYsgCL5jwi6ex8NCSI-lWsVxr7Bl8oHfbU3gfgilPiY2t0Ae9RrZnXbk=w500-rw
iPhone 14 | Chính Hãng VNA,- Bộ nhớ: 256GB,Màu sắc: Starlight,21.490.000,https://phongvu.vn/iphone-14--p459613,https://lh3.googleusercontent.com/r3vVFt-K-YQ8sshGsncDO5fcIgE63ri9R7wRMg3Q69XO5FU7RT6P8CK2cPDUsCuwcB966KloiQmBIWXNcEZWiqlqBydk3D-D4w=w500-rw
iPhone 14 | Chính Hãng VNA,- Bộ nhớ: 512GB,Màu sắc: Starlight,24.490.000,https://phongvu.vn/iphone-14--p459613,https://lh3.googleusercontent.com/Iqw3511MflpxccMuXHeVc2b6pNU20EtqypCXp-sWf0UZv-kQHYLw7J_8XNJUBNEN_4XWMv0LpG05VO_ExRL5JDKmlDS8kHo=w500-rw
Điện thoại Samsung Galaxy A54 5G 8GB,- Bộ nhớ: 256GB,Màu sắc: Violet,9.390.000,https://phongvu.vn/samsung-galaxy-a54-5g-8gb-128gb--p505122,https://lh3.googleusercontent.com/O1z-KcEfjUr5DdIX8ymk5QaRSDPuzTy_autZJpxTTzR--XzB5GGDFTjo_mluqTX2qazs0twQeSz1M1k-DmcRB6NPgsJQakLc=w500-rw
iPhone 14 | Chính Hãng VNA,- Bộ nhớ: 128GB,Màu sắc: Red,18.990.000,https://phongvu.vn/iphone-14--p459613,https://lh3.googleusercontent.com/V0Ss2bi-OtzLz0aJjU98JnZi8rJNovlSNTBL4KC1OyY7dMeOBjqqIScsjboTMmZtJeusgLr7MBSLZFh2s0en5nXpd-utDrbSIA=w500-rw
iPhone 14 | Chính Hãng VNA,- Bộ nhớ: 128GB,Màu sắc: Blue,19.190.000,https://phongvu.vn/iphone-14--p459613,https://lh3.googleusercontent.com/eLL7T8KRkV-u1SzTef9vTrsDKpFO9sgaJyfqrHN2KzKIYpyQ3Xzd090RnxO7koXZcSNoc0co8SsX7zzjE68OI-81y9luFjl0=w500-rw
iPhone 14 Plus | Chính hãng VNA,- Bộ nhớ: 128GB,Màu sắc: Starlight,21.790.000,https://phongvu.vn/iphone-14-plus--p459614,https://lh3.googleusercontent.com/yquKD5JnaMYjXjoldsbGdf93k6OQgUyKvgB75i9fYZ_Dv_CwcJDEHXHrhoPZG1dwjEA5LztGKZpboeq_H6BohkNtxtCXJS_j=w500-rw
iPhone 14 Plus | Chính hãng VNA,- Bộ nhớ: 256GB,Màu sắc: Starlight,24.490.000,https://phongvu.vn/iphone-14-plus--p459614,https://lh3.googleusercontent.com/jpwP_cH_5b3ZFO0JHeEz_dWnEd3GE-m9zHkIf2Vy2uiq1G5qtre1Hz1UWlG3vWaACRu1O0ht1q9d91wAIWLJZK1KIu4qilY=w500-rw
iPhone 14 Plus | Chính hãng VNA,- Bộ nhớ: 512GB,Màu sắc: Starlight,24.990.000,https://phongvu.vn/iphone-14-plus--p459614,https://lh3.googleusercontent.com/06-nYJ3S76YVk9gs99_7_sV24U58C81Iq-wCVpjWQdOD5eXzNSaI8HbPGqoJuGAyOVT0OaWs221-xMadV8lqTR8BTTyHvSBHEQ=w500-rw
iPhone 14 | Chính Hãng VNA,- Bộ nhớ: 256GB,Màu sắc: Blue,21.490.000,https://phongvu.vn/iphone-14--p459613,https://lh3.googleusercontent.com/cwJIK8Zs5zRwYYmQETyEW3-fy_r044pMVnM4Z3xzV0nvYYDpFwHIddDbt_-PCoMT1bNklfBkn4KwXqpugO2y9cKcV7qDoO9o=w500-rw
iPhone 14 | Chính Hãng VNA,- Bộ nhớ: 512GB,Màu sắc: Blue,24.490.000,https://phongvu.vn/iphone-14--p459613,https://lh3.googleusercontent.com/ot8GB2ZmgDKpIgSc8dcTGV0AQxb9ttC60mZDAw4gnvJyiVbvtHrQqMPpv1lqSFkaCQWCYjE3-L8icZ_DetG9GWChAnwcqqo5=w500-rw
iPhone 14 | Chính Hãng VNA,- Bộ nhớ: 256GB,Màu sắc: Red,21.790.000,https://phongvu.vn/iphone-14--p459613,https://lh3.googleusercontent.com/i7EUc1smD3Q-A0RShjzZNa8CRbXd727i3VIWUnPoMnaCFx5hJyH9k-ahrfevDxd9J8sbKQho0MyogaWCcuGl3kJ7qINq9Sf3=w500-rw
iPhone 14 | Chính Hãng VNA,- Bộ nhớ: 512GB,Màu sắc: Red,24.490.000,https://phongvu.vn/iphone-14--p459613,https://lh3.googleusercontent.com/jImSnkLFtSQ9BxKfBvE3UGsS4vyyFmQK5gAOBzpN6inouvEnupE28--OyN6sVvr6d5SUTfqUdkRlC27Hdw94S-oVxMJFTb8=w500-rw
Điện thoại Samsung Galaxy A54 5G 8GB,- Bộ nhớ: 256GB,Màu sắc: Lime,9.790.000,https://phongvu.vn/samsung-galaxy-a54-5g-8gb-128gb--p505122,https://lh3.googleusercontent.com/W9vRtnANnPIiw4ZBdvikbrw19sqAAkCoharyIFnqHdfBFhVdXVYK-9n1t5fEvPutXzk2V7kjJ2KG9KXsIZNgQZ2JuO7XjA=w500-rw
iPhone 14 Plus | Chính hãng VNA,- Bộ nhớ: 128GB,Màu sắc: Purple,21.390.000,https://phongvu.vn/iphone-14-plus--p459614,https://lh3.googleusercontent.com/INlO83z5PGYnm1V38G4SSfEYks-ieJrMKNAQ8ocfrpxQ6U4rHdupnLej6IYm7STOrwM4NuI27QuQG8tAfytlQ9QY8_MZNAU7hg=w500-rw
iPhone 14 Plus | Chính hãng VNA,- Bộ nhớ: 128GB,Màu sắc: Red,21.390.000,https://phongvu.vn/iphone-14-plus--p459614,https://lh3.googleusercontent.com/CERp9PqnZxKwd33GQEZ89Rm_dT-aduwuCYtu_qL6jOM3Ud4ZUKyKr81FEJcn5hpDhzP9naQimLTDAhLT--vuxAWDDcNTNS0w=w500-rw
iPhone 14 Plus | Chính hãng VNA,- Bộ nhớ: 128GB,Màu sắc: Blue,21.790.000,https://phongvu.vn/iphone-14-plus--p459614,https://lh3.googleusercontent.com/5zuQqKLH4txOE8wGR_s4V5FwE3ajIP1TvDZtTScDU-ZCzHj42-gmS4TOiXaVVdwPw25dboQq3m8XHTEeFnJ0iFmJ7sZ4LYN7=w500-rw
iPhone 14 Pro Max | Chính Hãng VNA,- Bộ nhớ: 128GB,Màu sắc: Silver,27.790.000,https://phongvu.vn/iphone-14-pro-max--p459617,https://lh3.googleusercontent.com/DNllt0SnnNV96yRVE8c-StKPZSiO99F1SBS5LIGm4Fm7ebqRBXXHHzcxyzoFYYXiqUejbQAOe3Z5eXJiCtxprCFcDY009Mlx=w500-rw
iPhone 14 Pro Max | Chính Hãng VNA,- Bộ nhớ: 128GB,Màu sắc: Gold,27.790.000,https://phongvu.vn/iphone-14-pro-max--p459617,https://lh3.googleusercontent.com/-IWi9ZRMRCvPuwQt5ZgWWfNfmOMtPPmXKD6VEvtgjagGWLSax0O1VJwt_o4f_QORvpOomB4GGjgEzpB2Vd3pccsUSWFtFUIn=w500-rw
iPhone 14 Pro Max | Chính Hãng VNA,- Bộ nhớ: 128GB,Màu sắc: Deep Purple,27.790.000,https://phongvu.vn/iphone-14-pro-max--p459617,https://lh3.googleusercontent.com/EbLo9fFCx8OcgWr8dxP1ulnB96POm_d1PD6R3DLv30MFjoLR_J19oN10Mhg-Wyqbsq6FBYkybx6MIEPwfY3E0av5d74WZ2w0=w500-rw
iPhone 14 Pro Max | Chính Hãng VNA,- Bộ nhớ: 256GB,Màu sắc: Deep Purple,30.490.000,https://phongvu.vn/iphone-14-pro-max--p459617,https://lh3.googleusercontent.com/E64wwhMluw5YV1V66uMG0BCabON-lvISApg7PUJRvJuwH9tJ368Qz9QEPEQHd-LG2j_jmTyegWcJSUMc-U2A19aUR6mKMMno=w500-rw
iPhone 14 Pro Max | Chính Hãng VNA,- Bộ nhớ: 512GB,Màu sắc: Deep Purple,35.490.000,https://phongvu.vn/iphone-14-pro-max--p459617,https://lh3.googleusercontent.com/_uK2LkCBsW62PtNPgB-Wb-eWO0syTwr38lXxpV2DBVAW6R7ggBTIdenZ5Tf_7ZFSjtxKPxZZvwsOxBlF6YIbngFduopOS3j4=w500-rw
iPhone 14 Pro Max | Chính Hãng VNA,- Bộ nhớ: 1TB,Màu sắc: Deep Purple,40.990.000,https://phongvu.vn/iphone-14-pro-max--p459617,https://lh3.googleusercontent.com/pEKoGm5AwxO5tRftol6glaH4JefECs2O-jVzI4zhgrt2NmfFCN5VRbAjdNPy0XZA9sWmrFwZSLilm1wv39q4Z-GV2SaH74w=w500-rw
iPhone 14 Pro Max | Chính Hãng VNA,- Bộ nhớ: 256GB,Màu sắc: Gold,30.490.000,https://phongvu.vn/iphone-14-pro-max--p459617,https://lh3.googleusercontent.com/Y1OVqtPmmjFd3lzbR0onqBQLgUtNkiX2T4zCffguTiZoMs73EJ9naybVgmrRat4i6bqWSC6oMQYvkWZlKxWlddEY3EzNvIj6=w500-rw
iPhone 14 Pro Max | Chính Hãng VNA,- Bộ nhớ: 512GB,Màu sắc: Gold,35.490.000,https://phongvu.vn/iphone-14-pro-max--p459617,https://lh3.googleusercontent.com/XNq4-34T4JU35qtBhkSzfOGVocPVSeElCOryTQbHOx2jl1y1dys0O1pKiUk40lZi5mbAhdpggogTMyQue7HxLTpc5lu6nJ1o=w500-rw
iPhone 14 Pro Max | Chính Hãng VNA,- Bộ nhớ: 1TB,Màu sắc: Gold,40.990.000,https://phongvu.vn/iphone-14-pro-max--p459617,https://lh3.googleusercontent.com/-kaLsvoiilEsEhZMXm-VA5fWmtW_21W5Lphuw6U8i65Fck_HQIQMpeOP03VjVGPO8uo2wPDl34TPKjqLa9rNckelOfBI6moDFw=w500-rw
iPhone 14 Pro Max | Chính Hãng VNA,- Bộ nhớ: 256GB,Màu sắc: Silver,30.490.000,https://phongvu.vn/iphone-14-pro-max--p459617,https://lh3.googleusercontent.com/ke3q8cJQIW-GfJseRgfAIhRFX5O3RDNEJslb-YpLHucaA8M1EocZOzQ9lfpLnK5KFGj8sSaicJiPDBkXIQq9inTO-eemsmvsig=w500-rw
iPhone 14 Pro Max | Chính Hãng VNA,- Bộ nhớ: 512GB,Màu sắc: Silver,34.990.000,https://phongvu.vn/iphone-14-pro-max--p459617,https://lh3.googleusercontent.com/TEKKYejcHdp0xZWkTmsKA1GgWK7FIABonY5150WE2H3sM8IU2ETzt1QfOUGFVexUtC0QuPbq9I5LmTCfwrUO3-yOW7XZ_fxKHg=w500-rw
iPhone 14 Pro Max | Chính Hãng VNA,- Bộ nhớ: 1TB,Màu sắc: Silver,40.990.000,https://phongvu.vn/iphone-14-pro-max--p459617,https://lh3.googleusercontent.com/h8klikjGNCdmHJT1AU9pvN47v5H2yrys188wCi7qI2EGLfiE3yTRsXawANK3UqFHUtR2DOOvRHFxT2lRjuuIdxbTZmq7xJgaFQ=w500-rw
iPhone 14 Plus | Chính hãng VNA,- Bộ nhớ: 256GB,Màu sắc: Blue,23.990.000,https://phongvu.vn/iphone-14-plus--p459614,https://lh3.googleusercontent.com/6ZVk7pydMZflZ2CpyQEwR9tGiyN9lrlT0hHYx-ZXMtrJ4F4JtG4YTF1_Q9VCae6p4oNNsyRvhnuDjDKwzEtzIx24x21v5XZ6=w500-rw
iPhone 14 Plus | Chính hãng VNA,- Bộ nhớ: 512GB,Màu sắc: Blue,24.990.000,https://phongvu.vn/iphone-14-plus--p459614,https://lh3.googleusercontent.com/3gZ3fTW3-jHYWovufemh76oo8X1IzcJAc9WeN9F2YMbyjICCQjmGMGztkCZxeYc4dW-apfhok-MFMsVO_ep0BQp5wIG0q3G_=w500-rw
iPhone 14 Plus | Chính hãng VNA,- Bộ nhớ: 256GB,Màu sắc: Red,24.490.000,https://phongvu.vn/iphone-14-plus--p459614,https://lh3.googleusercontent.com/c5Wb6O-9I_YAHXEUPwhMkJgZU5AWOQXZ3tzHP1t4eCgrxqKNiOEALRizBbqL8L3yN0dICic4VeZGjhD9rvHWi4PTB84qAUAz=w500-rw
iPhone 14 Plus | Chính hãng VNA,- Bộ nhớ: 512GB,Màu sắc: Red,24.990.000,https://phongvu.vn/iphone-14-plus--p459614,https://lh3.googleusercontent.com/vAE-r0pkPUAURbbFrve6Ihce7OnL5asaHbRFWjXcEI05-cScWP7MKogT0cNSAJRKRRDcXpUsgVUbGYNiTRfxuIQi0Q5c1PzH=w500-rw
iPhone 14 Plus | Chính hãng VNA,- Bộ nhớ: 256GB,Màu sắc: Purple,23.990.000,https://phongvu.vn/iphone-14-plus--p459614,https://lh3.googleusercontent.com/t1ukqRbLODsIHDyE8qEDqd11KnA7OfNJNayIBA6yVP9XLo8D_-QBLFG4tjlnFMxyCvBfNJKfDD-0u4R7O085RzDu7PnljlMZXg=w500-rw
iPhone 14 Plus | Chính hãng VNA,- Bộ nhớ: 512GB,Màu sắc: Purple,24.990.000,https://phongvu.vn/iphone-14-plus--p459614,https://lh3.googleusercontent.com/vd5z-p37yT7Eo1QPXnpJSr-vtUjRPa_qf47VOG9k516KrOYu-PQ9jDkczcU1ncmXEna9hynLMPdLb8FPoYE7gO__57OsXLd_rw=w500-rw
