,product_name,product_price,product_memory,product_color,product_url,img_url
161, OPPO Reno7 Z (5G) ,7.000.000 đ,128GB,Đen,https://cellphones.com.vn/oppo-reno7-z.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/c/o/combo_product_-_rainbow_spectrum_-_reno7_z.png"
162, OPPO A57 ,3.790.000 đ,64G 64GB,Đen,https://cellphones.com.vn/oppo-a57.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/c/o/combo_a57_-_black.jpg"
163, OPPO A57 ,3.790.000 đ,64G 64GB,Xanh,https://cellphones.com.vn/oppo-a57.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/c/o/combo_a57_-_black.jpg"
164, OPPO A57 4GB 128GB ,4.390.000 đ,128GB,Vàng,https://cellphones.com.vn/oppo-a57-128gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/c/o/combo_a57_-_black_3.jpg"
165, OPPO A57 4GB 128GB ,4.390.000 đ,128GB,Đen,https://cellphones.com.vn/oppo-a57-128gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/c/o/combo_a57_-_black_3.jpg"
166, OPPO A57 4GB 128GB ,4.390.000 đ,128GB,Xanh,https://cellphones.com.vn/oppo-a57-128gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/c/o/combo_a57_-_black_3.jpg"
167, OPPO Reno7 (5G) ,7.590.000 đ,256GB,Xanh,https://cellphones.com.vn/oppo-reno-7.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/c/o/combo_product_-_blue_-_reno7_5g.png"
168, OPPO Reno7 (5G) ,7.590.000 đ,256GB,Đen,https://cellphones.com.vn/oppo-reno-7.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/c/o/combo_product_-_blue_-_reno7_5g.png"
169, OPPO Reno 7 Pro ,11.190.000 đ,256GB,Đen,https://cellphones.com.vn/oppo-reno7-pro.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/t/_/t_i_xu_ng_42__3.png"
170, OPPO Reno 7 Pro ,11.190.000 đ,256GB,Xanh,https://cellphones.com.vn/oppo-reno7-pro.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/t/_/t_i_xu_ng_42__3.png"
171, OPPO Reno8 5G 8GB 256GB,13.990.000 đ,256GB,Vàng,https://cellphones.com.vn/oppo-reno-8-5g.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/c/o/combo_product_-_reno8_5g_-_black.png"
172, OPPO Reno8 5G 8GB 256GB,13.990.000 đ,256GB,Đen,https://cellphones.com.vn/oppo-reno-8-5g.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/c/o/combo_product_-_reno8_5g_-_black.png"
173, OPPO Reno8 T 256GB ,8.490.000 đ,256GB,Vàng,https://cellphones.com.vn/oppo-reno-8t-4g-256gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/6/3/638106969904674603_oppo-reno8-t-4g-den-5.jpg"
174, OPPO Reno8 T 256GB ,8.490.000 đ,256GB,Đen,https://cellphones.com.vn/oppo-reno-8t-4g-256gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/6/3/638106969904674603_oppo-reno8-t-4g-den-5.jpg"
175, OPPO Reno8 T 5G (8GB - 128GB) ,9.290.000 đ,128GB,Đen,https://cellphones.com.vn/oppo-reno-8t.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/o/p/oppo-reno8t-vang1-thumb-600x600.jpg"
176, OPPO Reno8 T 5G (8GB - 128GB) ,9.290.000 đ,128GB,Vàng,https://cellphones.com.vn/oppo-reno-8t.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/o/p/oppo-reno8t-vang1-thumb-600x600.jpg"
177, realme C30s 2GB 32GB ,1.790.000 đ,2GB 32GB,Xanh,https://cellphones.com.vn/realme-c30s.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/r/e/realme-c30s-den-glr--009.jpg"
178, realme C30s 2GB 32GB ,1.790.000 đ,2GB 32GB,Đen,https://cellphones.com.vn/realme-c30s.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/r/e/realme-c30s-den-glr--009.jpg"
179, realme 8 5G ,6.290.000 đ,128GB,Xanh,https://cellphones.com.vn/realme-8-5g.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/r/e/realme-8-5g-blue-1-600x600_1.jpg"
180, realme 8 5G ,6.290.000 đ,128GB,Đen,https://cellphones.com.vn/realme-8-5g.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/r/e/realme-8-5g-blue-1-600x600_1.jpg"
