,product_name,product_memory,product_color,product_price,product_url,img_url
12,iPhone 14 Pro | Chính Hãng VNA,128GB,Silver,25.290.000đ,https://phongvu.vn/iphone-14-pro--p459616,https://lh3.googleusercontent.com/VYAQpQJgced0a1xBWbr5mbFQiBzevgIo-V_SKVXIDV0et24IVNllS-qKZN1hkMHAYajG9Rawp1nYgCS6QlRqbkWb9eM2kMg=w500-rw
13,Điện thoại Samsung Galaxy A23 4GB/128GB,128GB,Blue,5.390.000đ,https://phongvu.vn/samsung-galaxy-a23--p420347,https://lh3.googleusercontent.com/ruSSokgIpPP6zyrJf3s0YR-bwhTz3-F0BxVXKCOX0o5KNcbOkob2zo0T2HxnyNFTxjr8tAKdrAfGS1EQuCHesFP0hvNiiydJ=w500-rw
14,Điện thoại Samsung Galaxy A13 4GB/128GB,128GB,Black,3.990.000đ,https://phongvu.vn/samsung-galaxy-a13--p420345,https://lh3.googleusercontent.com/reIEo1BEnG01zrYRDMhb77U50S79xlT2_LYBHzXDbLyONWXupw-7st3sA4PKpqR32u92SWbFwR-hiS16c32dS7jPLLCAq7up=w500-rw
15,TP-Link Neffos N150,,Black,600.000đ,https://phongvu.vn/tp-link-neffos-n150--p420144,https://lh3.googleusercontent.com/dlTrlFzWV6fJUlpODuSPoDSGPUFOC3kWKrqgUzUP9Z32LVSrr4_PE-U7jvQDxNt-cW1OL-_mytic4Y-__kUvltAdkKCXxrjDpw=w500-rw
16,TP-Link Neffos N105,,Black,800.000đ,https://phongvu.vn/tp-link-neffos-n105--p420143,https://lh3.googleusercontent.com/RA-GDi1ZPHvBtvt-lYyurWhSfzDg6nNGGjWUXcG84bLqI2onLEfVXAdCMUOwZ8dz0TSmOtYD3heacNYYXDxRRX-7Q6XaROA=w500-rw
17,Điện thoại Samsung Galaxy A53 5G 8GB/128GB,128GB,Blue,9.590.000đ,https://phongvu.vn/samsung-galaxy-a53-5g--p418925,https://lh3.googleusercontent.com/Oea3qRYweE0VKShlm36L8jP9yo6-pm8OzGrchG-zLLr1LvKWG_YMXiuITT1iazkaCv-cRJiKmqiJiNwbc8d1Pk_GVSC-EOU=w500-rw
18,iPhone 14 Pro | Chính Hãng VNA,256GB,Silver,27.990.000đ,https://phongvu.vn/iphone-14-pro--p459616,https://lh3.googleusercontent.com/gN_X8XpefBnKcvH_r0tXrAI5QSXELUJJ04bAkXOUr97YJVtFpN89xiTmBPWNnEzsVowGcgn0JlyFKpZGjBW-5KLBC0wtAYfR=w500-rw
19,iPhone 14 Pro | Chính Hãng VNA,512GB,Silver,33.190.000đ,https://phongvu.vn/iphone-14-pro--p459616,https://lh3.googleusercontent.com/pBmUZGr43UoeyzufNTfsuQAdNo8c030UPN5_9pPfNYsoTeBMOIXr7AP0eGumD3tYVqkTWbZ5AGPwJ1-lwlMTZEh7QOB78Gs=w500-rw
20,iPhone 14 Pro | Chính Hãng VNA,1TB,Silver,34.990.000đ,https://phongvu.vn/iphone-14-pro--p459616,https://lh3.googleusercontent.com/q4NiTRLKB_bzDA2Z8L01pcjEzRZrEfkg7-zB7CypzV9LXSBK8bD1GdXdu9UWwI-hNzK8ydbnNUaynokebi6y0p5rQreyQ_U=w500-rw
21,iPhone 14 Pro | Chính Hãng VNA,256GB,Space Black,27.990.000đ,https://phongvu.vn/iphone-14-pro--p459616,https://lh3.googleusercontent.com/6Qn6m5n10FU-jD0PJug16E9JGjjzG8nZpo9dU9X8UFjEJvlsNlfkYHXnMb0yp8Thn1MSwMWKlUTpRcWZ9GKDBkY7kvXDrzdB=w500-rw
